Lake,Date,Rep,Filter_volume,Extract_time,Analysis_time,Fb,Fa,Methanol_blank,solid_standard,solid_standard_2
Tuesday,7/20/2025,B,200,8:35,8:35,337175,202776,451.91,232960,
Peter,7/21/2025,A,200,9:20,9:20,80833.02,47957.11,480.65,240996,
Peter,7/21/2025,B,200,9:20,9:20,73968.3,44256.41,480.65,240996,
Paul,7/21/2025,A,200,9:20,9:20,65985.98,39636.78,480.65,240996,
Paul,7/21/2025,B,200,9:20,9:20,67885.69,40456.4,480.65,240996,
Tuesday,7/21/2025,A,200,9:20,9:20,350391,214439,480.65,240996,
Tuesday,7/21/2025,B,200,9:20,9:20,310841,190320,480.65,240996,
Peter,7/22/2025,A,200,10:28,10:15,56635.7,33900.71,471.45,233430,
Peter,7/22/2025,B,200,10:28,10:15,61732.46,38010.21,471.45,233430,
Paul,7/22/2025,A,200,10:28,10:15,71928.92,41960.17,471.45,233430,
Paul,7/22/2025,B,200,10:28,10:15,83831.09,49776.05,471.45,233430,
Tuesday,7/22/2025,A,200,10:28,10:15,358873,212081,471.45,233430,
Tuesday,7/22/2025,B,200,10:28,10:15,353820,206600,471.45,233430,
Peter,7/23/2025,A,200,8:35,8:40,99635.98,56645.07,400.27,237128.09,
Peter,7/23/2025,B,200,8:35,8:40,87825.05,50055.13,400.27,237128.09,
Paul,7/23/2025,A,200,8:35,8:40,99448.84,56269.32,400.27,237128.09,
Paul,7/23/2025,B,200,8:35,8:40,95847.75,53886.25,400.27,237128.09,
Tuesday,7/23/2025,A,200,8:35,8:40,600795.88,336060.22,400.27,237128.09,
Tuesday,7/23/2025,B,200,8:35,8:40,635977.19,352107.22,400.27,237128.09,
Peter,7/24/2025,A,200,8:35,8:40,100979.87,58358.94,400.27,237128.09,
Peter,7/24/2025,B,200,8:35,8:40,96672.8,57161.73,400.27,237128.09,
Paul,7/24/2025,A,200,8:35,8:40,117701.3,67923.49,400.27,237128.09,
Paul,7/24/2025,B,200,8:35,8:40,120694.48,68714.7,400.27,237128.09,
Tuesday,7/24/2025,A,200,8:35,8:40,667762.81,375116.53,400.27,237128.09,
Tuesday,7/24/2025,B,200,8:35,8:40,650484,371567.97,400.27,237128.09,
Peter,7/25/2025,A,200,8:35,8:40,50785.64,31595.52,400.27,237128.09,
Peter,7/25/2025,B,200,8:35,8:40,56113.58,34952.8,400.27,237128.09,
Paul,7/25/2025,A,200,8:35,8:40,92499.3,55278.45,400.27,237128.09,
Paul,7/25/2025,B,200,8:35,8:40,94471.39,56136.74,400.27,237128.09,
Tuesday,7/25/2025,A,200,8:35,8:40,638916.81,363878.28,400.27,237128.09,
Tuesday,7/25/2025,B,200,8:35,8:40,658292.69,373599.84,390.67,234749.94,
Peter,7/26/2025,A,200,9:47,9:40,61579.97,34541.8,404.84,235934.78,
Peter,7/26/2025,B,200,9:47,9:40,67217.66,37449.91,404.84,235934.78,
Paul,7/26/2025,A,200,9:47,9:40,74571.03,42579.66,404.84,235934.78,
Paul,7/26/2025,B,200,9:47,9:40,67446.97,37746.71,404.84,235934.78,
Tuesday,7/26/2025,A,200,9:47,9:40,581154.06,309253.59,404.84,235934.78,
Tuesday,7/26/2025,B,200,9:47,9:40,567072.75,306263.53,404.84,235934.78,
Peter,7/27/2025,A,200,9:47,9:40,48429.72,28095.7,404.84,235934.78,
Peter,7/27/2025,B,200,9:47,9:40,44300.12,25920.62,404.84,235934.78,
Paul,7/27/2025,A,200,9:47,9:40,59823.69,35199.62,404.84,235934.78,
Paul,7/27/2025,B,200,9:47,9:40,60835.27,35375.23,404.84,235934.78,
Tuesday,7/27/2025,A,200,9:47,9:40,620835.94,341002.94,404.84,235934.78,
Tuesday,7/27/2025,B,200,9:47,9:40,640562.06,352239.47,402.73,233183.69,
Peter,7/28/2025,A,200,9:00,9:15,57354.4,34898.56,437.17,230708.69,
Peter,7/28/2025,B,200,9:00,9:15,57880.62,35202.45,437.17,230708.69,
Paul,7/28/2025,A,200,9:00,9:15,81991.5,48384.89,437.17,230708.69,
Paul,7/28/2025,B,200,9:00,9:15,92785,55130.27,437.17,230708.69,
Tuesday,7/28/2025,A,200,9:00,9:15,381778.44,216187.45,437.17,230708.69,
Tuesday,7/28/2025,B,200,9:00,9:15,405555.72,227907.12,400.55,229588.75,
Peter,7/29/2025,A,200,9:56,10:30,61715.68,35436.34,372.34,231884.8,
Peter,7/29/2025,B,200,9:56,10:30,67173.65,39076.38,372.34,231884.8,
Paul,7/29/2025,A,200,9:56,10:30,68491.07,39606.04,372.34,231884.8,
Paul,7/29/2025,B,200,9:56,10:30,71873.54,42088.75,372.34,231884.8,
Tuesday,7/29/2025,A,200,9:56,10:30,381678,214222.59,372.34,231884.8,
Tuesday,7/29/2025,B,200,9:56,10:30,332976.16,180675.02,372.34,231884.8,
Peter,7/30/2025,A,200,8:45,8:45,60474.3,34717,372.34,231884.8,
Peter,7/30/2025,B,200,8:45,8:45,63307.05,38550.38,372.34,231884.8,
Paul,7/30/2025,A,200,8:45,8:45,70322.65,42222.62,372.34,231884.8,
Paul,7/30/2025,B,200,8:45,8:45,55379.29,32687.86,372.34,231884.8,
Tuesday,7/30/2025,A,200,8:45,8:45,459613.56,249373.39,372.34,231884.8,
Tuesday,7/30/2025,B,200,8:45,8:45,426811.91,234248.58,372.34,231884.8,
Peter,7/31/2025,A,200,8:45,8:45,72139.11,43517.21,372.34,231884.8,
Peter,7/31/2025,B,200,8:45,8:45,78692.7,47209.88,372.34,231884.8,
Paul,7/31/2025,A,200,8:45,8:45,52299.48,31527.06,372.34,231884.8,
Paul,7/31/2025,B,200,8:45,8:45,55492.58,33302.23,372.34,231884.8,
Tuesday,7/31/2025,A,200,8:45,8:45,332413.22,194620.8,372.34,231884.8,
Tuesday,7/31/2025,B,200,8:45,8:45,342733.06,200937.14,372.34,231884.8,
Peter,8/1/2025,A,200,8:45,8:45,96400.93,58421,372.34,231884.8,
Peter,8/1/2025,B,200,8:45,8:45,91327.23,85884.27,372.34,231884.8,
Paul,8/1/2025,A,200,8:45,8:45,61234.13,36965.16,372.34,231884.8,
Paul,8/1/2025,B,200,8:45,8:45,66805.81,40289.43,372.34,231884.8,
Tuesday,8/1/2025,A,200,8:45,8:45,352210.56,206871.84,372.34,231884.8,
Tuesday,8/1/2025,B,200,8:45,8:45,319187.53,187402.58,406.59,232987.86,
Peter,8/2/2025,A,200,9:15,9:28,53771.96,32588.6,411.37,230366.62,
Peter,8/2/2025,B,200,9:15,9:28,57766.94,34863.64,411.37,230366.62,
Paul,8/2/2025,A,200,9:15,9:28,61922.95,36570.16,411.37,230366.62,
Paul,8/2/2025,B,200,9:15,9:28,64940.32,38615.33,411.37,230366.62,
Tuesday,8/2/2025,A,200,9:15,9:28,332449.19,191580.08,411.37,230366.62,
Tuesday,8/2/2025,B,200,9:15,9:28,333903.16,193343.08,411.37,230366.62,
Peter,8/3/2025,A,200,8:44,8:45,51085.05,31737.96,450.55,236819.14,
Peter,8/3/2025,B,200,8:44,8:45,53242.28,32760.77,450.55,236819.14,
Paul,8/3/2025,A,200,8:44,8:45,64129.93,38316.49,450.55,236819.14,
Paul,8/3/2025,B,200,8:44,8:45,62806.32,37447.22,450.55,236819.14,
Tuesday,8/3/2025,A,200,8:44,8:45,346267.2,206663.39,450.55,236819.14,
Tuesday,8/3/2025,B,200,8:44,8:45,360063,211132.95,417.28,235165.53,
Peter,8/4/2025,A,200,9:15,9:28,62492.02,38579.07,411.37,230366.62,
Peter,8/4/2025,B,200,9:15,9:28,75483.87,44957.59,411.37,230366.62,
Paul,8/4/2025,A,200,9:15,9:28,59347.38,35669.32,411.37,230366.62,
Paul,8/4/2025,B,200,9:15,9:28,59531.29,36074.13,411.37,230366.62,
Tuesday,8/4/2025,A,200,9:15,9:28,280087.94,162948.03,411.37,230366.62,
Tuesday,8/4/2025,B,200,9:15,9:28,310684.97,180020.83,412.03,232500.39,
Peter,8/5/2025,A,200,10:15,10:32,72577.05,42231.64,442.67,231763,
Peter,8/5/2025,B,200,10:15,10:32,72802.95,42626.89,442.67,231763,
Paul,8/5/2025,A,200,10:15,10:32,70836.31,42022.67,442.67,231763,
Paul,8/5/2025,B,200,10:15,10:32,71834.48,43586.58,442.67,231763,
Tuesday,8/5/2025,A,200,10:15,10:32,263080,150606,442.67,231763,
Tuesday,8/5/2025,B,200,10:15,10:32,256372,148123,442.67,231763,
Peter,8/6/2025,A,200,10:15,10:32,85558,51239.49,445.64,234959,
Peter,8/6/2025,B,200,10:15,10:32,91624,53986.25,445.64,234959,
Paul,8/6/2025,A,200,10:15,10:32,61249,37102.26,445.64,234959,
Paul,8/6/2025,B,200,10:15,10:32,61010,36767.73,445.64,234959,
Tuesday,8/6/2025,A,200,10:15,10:32,330725,191253.09,445.64,234959,
Tuesday,8/6/2025,B,200,10:15,10:32,303146,178391.73,445.64,234959,
Peter,8/7/2025,A,200,10:15,11:00,109595,67678.7,397.46,234707,
Peter,8/7/2025,B,200,10:15,11:00,116628,68127.12,397.46,234707,
Paul,8/7/2025,A,200,10:15,11:00,77670.57,48213.5,397.46,234707,
Paul,8/7/2025,B,200,10:15,11:00,72928.3,44766.79,397.46,234707,
Tuesday,8/7/2025,A,200,10:15,11:00,332882,192952,397.46,234707,
Tuesday,8/7/2025,B,200,10:15,11:00,300342,175406,397.46,234707,
Peter,8/8/2025,A,200,10:15,11:00,99559.77,60717.46,397.46,234707,
Peter,8/8/2025,B,200,10:15,11:00,97606.7,59669.95,397.46,234707,
Paul,8/8/2025,A,200,10:15,11:00,69414.82,41748.63,397.46,234707,
Paul,8/8/2025,B,200,10:15,11:00,74255.06,44468.47,397.46,234707,
Tuesday,8/8/2025,A,200,10:15,11:00,278076,154437.58,397.46,234707,
Tuesday,8/8/2025,B,200,10:15,11:00,311908,175637,405.85,227760,
Peter,8/9/2025,A,200,8:40,9:35,106454,63000.61,433.25,231753,
Peter,8/9/2025,B,200,8:40,9:35,127125,74535.43,433.25,231753,
Paul,8/9/2025,A,200,8:40,9:35,78297.37,46278.01,433.25,231753,
Paul,8/9/2025,B,200,8:40,9:35,77496.51,46170.88,433.25,231753,
Tuesday,8/9/2025,A,200,8:40,9:35,412993,242730,433.25,231753,
Tuesday,8/9/2025,B,200,8:40,9:35,349564,195775,433.25,231753,
Peter,8/10/2025,A,200,8:40,9:35,127862,78259.84,433.25,231753,
Peter,8/10/2025,B,200,8:40,9:35,128526,79672.9,433.25,231753,
Paul,8/10/2025,A,200,8:40,9:35,93277.66,57549.05,433.25,231753,
Paul,8/10/2025,B,200,8:40,9:35,92938.01,56811.22,433.25,231753,
Tuesday,8/10/2025,A,200,8:40,9:35,381143,217674,433.25,231753,
Tuesday,8/10/2025,B,200,8:40,9:35,369217,213213,433.25,231753,
Peter,8/11/2025,A,200,8:40,9:35,98575.15,61870.21,433.25,231753,
Peter,8/11/2025,B,200,8:40,9:35,96090.69,59889.69,433.25,231753,
Paul,8/11/2025,A,200,8:40,9:35,82912.08,51441.74,433.25,231753,
Paul,8/11/2025,B,200,8:40,9:35,81537.38,49902.07,433.25,231753,
Tuesday,8/11/2025,A,200,8:40,9:35,358620,206366,433.25,231753,
Tuesday,8/11/2025,B,200,8:40,9:35,344436,196270,417.92,232693,
Peter,8/12/2025,A,200,8:40,9:01,111636.42,70305.37,406.2,231876,
Peter,8/12/2025,B,200,8:40,9:01,117778.48,74410.16,406.2,231876,
Paul,8/12/2025,A,200,8:40,9:01,80863.55,49676.63,406.2,231876,
Paul,8/12/2025,B,200,8:40,9:01,78128.99,48568.85,406.2,231876,
Tuesday,8/12/2025,A,200,8:40,9:01,340158,199016,406.2,231876,
Tuesday,8/12/2025,B,200,8:40,9:01,350736,200921,406.2,231876,
Peter,8/13/2025,A,200,9:00,9:00,104270,63864.84,408.29,236696,
Peter,8/13/2025,B,200,9:00,9:00,120380,74761.07,408.29,236696,
Paul,8/13/2025,A,200,9:00,9:00,72787.78,43171.68,408.29,236696,
Paul,8/13/2025,B,200,9:00,9:00,64314.33,38691.1,408.29,236696,
Tuesday,8/13/2025,A,200,9:00,9:00,303585,177861,408.29,236696,
Tuesday,8/13/2025,B,200,9:00,9:00,361821,190764,408.29,236696,
Peter,8/14/2025,A,200,9:00,9:00,114061,70072.65,408.29,236696,
Peter,8/14/2025,B,200,9:00,9:00,124008,75362.36,408.29,236696,
Paul,8/14/2025,A,200,9:00,9:00,76540.28,46973.91,408.29,236696,
Paul,8/14/2025,B,200,9:00,9:00,77770.16,46243.97,408.29,236696,
Tuesday,8/14/2025,A,200,9:00,9:00,347593,196553,408.29,236696,
Tuesday,8/14/2025,B,200,9:00,9:00,357726,203934,408.29,236696,
Peter,8/15/2025,A,200,9:00,9:00,91358.65,53438.86,408.29,236696,
Peter,8/15/2025,B,200,9:00,9:00,96799.12,59718.93,408.29,236696,
Paul,8/15/2025,A,200,9:00,9:00,70272.29,41801.93,408.29,236696,
Paul,8/15/2025,B,200,9:00,9:00,58485.72,34597.69,408.29,236696,
Tuesday,8/15/2025,A,200,9:00,9:00,289922,166702,408.29,236696,
Tuesday,8/15/2025,B,200,9:00,9:00,275982,159222,408.29,236696,
Peter,8/16/2025,A,200,9:00,9:00,100774,61632.43,419.83,237995,
Peter,8/16/2025,B,200,9:00,9:00,101789,62167.68,428.66,232190,
Paul,8/16/2025,A,200,9:00,9:00,95904.41,54397.4,428.66,232190,
Paul,8/16/2025,B,200,9:00,9:00,105782,62578.23,428.66,232190,
Tuesday,8/16/2025,A,200,9:00,9:00,284332,162642,428.66,232190,
Tuesday,8/16/2025,B,200,9:00,9:00,286916,161399,428.66,232190,
Peter,8/17/2025,A,200,8:50,9:00,103283,62592.79,429.77,236083,
Peter,8/17/2025,B,200,8:50,9:00,103205,62903.74,429.77,236083,
Paul,8/17/2025,A,200,8:50,9:00,82328.23,48118.88,429.77,236083,
Paul,8/17/2025,B,200,8:50,9:00,81856.98,47325.54,429.77,236083,
Tuesday,8/17/2025,A,200,8:50,9:00,313842,176486.23,429.77,236083,
Tuesday,8/17/2025,B,200,8:50,9:00,304432,174077.22,429.77,236083,
Peter,8/18/2025,A,200,9:30,9:45,131798.86,57484.44,386.18,230779.27,
Peter,8/18/2025,B,200,9:30,9:45,133555.98,81153.4,386.18,230779.27,
Paul,8/18/2025,A,200,9:30,9:45,67889.8,40729.57,386.18,230779.27,
Paul,8/18/2025,B,200,9:30,9:45,68496.66,42095.05,386.18,230779.27,
Tuesday,8/18/2025,A,200,9:30,9:45,306209,184315.08,386.18,230779.27,
Tuesday,8/18/2025,B,200,9:30,9:45,253371.41,152215.91,386.18,230779.27,
Peter,8/19/2025,A,200,9:00,8:50,143289,86655,404.41,234037,
Peter,8/19/2025,B,200,9:00,8:50,145421,84403,404.41,234037,
Paul,8/19/2025,A,200,9:00,8:50,85521.94,49523,404.41,234037,
Paul,8/19/2025,B,200,9:00,8:50,71767.2,41497,404.41,234037,
Tuesday,8/19/2025,A,200,9:00,8:50,325785,189129,404.41,234037,
Tuesday,8/19/2025,B,200,9:00,8:50,328410,190959,404.41,234037,
Peter,8/20/2025,A,200,9:00,9:00,124441,74014,404.41,234037,
Peter,8/20/2025,B,200,9:00,9:00,123681,73648,404.41,234037,
Paul,8/20/2025,A,200,9:00,9:00,107083,60456,404.41,234037,
Paul,8/20/2025,B,200,9:00,9:00,100631,57630,404.41,234037,
Tuesday,8/20/2025,A,200,9:00,9:00,357175,201775,404.41,234037,
Tuesday,8/20/2025,B,200,9:00,9:00,366929,210102,404.41,234037,
Peter,8/21/2025,A,200,9:00,9:00,121049,72467,404.41,234037,
Peter,8/21/2025,B,200,9:00,9:00,124328,74178,404.41,234037,
Paul,8/21/2025,A,200,9:00,9:00,91436,52974,404.41,234037,
Paul,8/21/2025,B,200,9:00,9:00,84811,48596,404.41,234037,
Tuesday,8/21/2025,A,200,9:00,9:00,252915,149240,404.41,234037,
Tuesday,8/21/2025,B,200,9:00,9:00,275096,158553,404.41,234037,
Peter,8/22/2025,A,200,9:00,8:50,72576,44504,404.41,234037,
Peter,8/22/2025,B,200,9:00,8:50,76363,46725,404.41,234037,
Paul,8/22/2025,A,200,9:00,8:50,62054,36945,404.41,234037,
Paul,8/22/2025,B,200,9:00,8:50,64493,38472,404.41,234037,
Tuesday,8/22/2025,A,200,9:00,8:50,221032,130922,404.41,234037,
Tuesday,8/22/2025,B,200,9:00,8:50,236178,137941,404.41,234037,
